epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
9,1835.5,0.91977,1.74277,1.07366,0.01087,1,0.4975,0.28192,0.47282,3.44524,0.85877,0.000420926,0.000420926,0.000420926
8,1829.51,0.70365,4.11741,0.73969,0.01176,1,0.995,0.59828,0.5656,3.47736,0.85741,0.000381592,0.000381592,0.000381592
10,1950.27,1.04067,2.06883,1.15386,0.01087,1,0.4975,0.28192,0.47282,3.44524,0.85877,0.000457997,0.000457997,0.000457997
9,1951.36,0.91977,1.74277,1.07366,0.01087,1,0.4975,0.28192,0.47282,3.44524,0.85877,0.000420926,0.000420926,0.000420926
11,2076.3,1.02125,1.69118,1.06651,0.0122,1,0.4975,0.398,0.74806,3.49667,0.95481,0.000492805,0.000492805,0.000492805
10,2097.16,1.04067,2.06883,1.15386,0.01087,1,0.4975,0.28192,0.47282,3.44524,0.85877,0.000457997,0.000457997,0.000457997
12,2256.09,0.97254,1.41214,1.09511,0.0122,1,0.4975,0.398,0.74806,3.49667,0.95481,0.000525349,0.000525349,0.000525349
11,2271.67,1.02125,1.69118,1.06651,0.0122,1,0.4975,0.398,0.74806,3.49667,0.95481,0.000492805,0.000492805,0.000492805
13,2408.76,1.11771,1.68873,1.17388,0.0125,1,0.33167,0.23217,1.0532,3.61326,1.06421,0.000555629,0.000555629,0.000555629
12,2409.15,0.97254,1.41214,1.09511,0.0122,1,0.4975,0.398,0.74806,3.49667,0.95481,0.000525349,0.000525349,0.000525349
14,2527.72,1.03702,1.5615,1.02215,0.0125,1,0.33167,0.23217,1.0532,3.61326,1.06421,0.000583646,0.000583646,0.000583646
13,2546.77,1.11771,1.68873,1.17388,0.0125,1,0.33167,0.23217,1.0532,3.61326,1.06421,0.000555629,0.000555629,0.000555629
15,2667.25,1.10916,1.80231,1.15242,0.01163,1,0.995,0.796,0.5929,3.31848,0.91522,0.0006094,0.0006094,0.0006094
14,2700.93,1.03702,1.5615,1.02215,0.0125,1,0.33167,0.23217,1.0532,3.61326,1.06421,0.000583646,0.000583646,0.000583646
16,2821.13,0.93163,1.85937,1.07069,0.01163,1,0.995,0.796,0.5929,3.31848,0.91522,0.00063289,0.00063289,0.00063289
15,2818.67,1.10916,1.80231,1.15242,0.01163,1,0.995,0.796,0.5929,3.31848,0.91522,0.0006094,0.0006094,0.0006094
17,2934.35,1.05542,2.04391,1.07856,0.01163,1,0.995,0.796,0.5929,3.31848,0.91522,0.000654116,0.000654116,0.000654116
16,3016.22,0.93163,1.85937,1.07069,0.01163,1,0.995,0.796,0.5929,3.31848,0.91522,0.00063289,0.00063289,0.00063289
18,3135.51,0.69546,3.67832,0.91366,0.01064,1,0.995,0.8955,0.55141,2.87712,0.91992,0.000673079,0.000673079,0.000673079
19,3296,1.07463,1.63316,1.11705,0.01064,1,0.995,0.8955,0.55141,2.87712,0.91992,0.000689778,0.000689778,0.000689778
17,3185.19,1.05542,2.04391,1.07856,0.01163,1,0.995,0.796,0.5929,3.31848,0.91522,0.000654116,0.000654116,0.000654116
20,3520.16,0.97383,1.8809,1.06224,0.01064,1,0.995,0.8955,0.55141,2.87712,0.91992,0.000704214,0.000704214,0.000704214
18,3412.51,0.69546,3.67832,0.91366,0.01064,1,0.995,0.8955,0.55141,2.87712,0.91992,0.000673079,0.000673079,0.000673079
19,3574.34,1.07463,1.63316,1.11705,0.01064,1,0.995,0.8955,0.55141,2.87712,0.91992,0.000689778,0.000689778,0.000689778
21,3693.85,0.97812,2.102,1.11208,0.01064,1,0.995,0.8955,0.55141,2.87712,0.91992,0.000716386,0.000716386,0.000716386
